epoch,GreenCoverage
1,-28.33222198486328
2,-9.107605934143066
3,-3.08444881439209
4,-2.8095786571502686
5,-2.5637874603271484
6,-2.3135104179382324
7,-1.8915271759033203
8,-1.3500070571899414
9,-0.4841043949127197
10,-0.04564177989959717
11,0.08542364835739136
12,0.10200440883636475
13,0.06438940763473511
14,0.0423884391784668
15,-0.040261030197143555
16,-0.23230218887329102
17,-0.08520638942718506
18,0.14176297187805176
19,-0.09139704704284668
20,-0.033492207527160645
21,0.1692611575126648
22,0.2708607316017151
23,-0.2422797679901123
24,0.1934199333190918
25,0.1750737428665161
26,0.128898024559021
27,-1.78236722946167
28,-0.03299605846405029
29,0.0557398796081543
30,0.13578259944915771
31,0.2086370587348938
32,0.27107948064804077
33,-0.8126457929611206
34,0.34044116735458374
35,0.2692003846168518
36,0.2956392168998718
37,0.00292128324508667
38,0.07448357343673706
39,0.2559530735015869
40,0.31384479999542236
41,0.08116692304611206
42,-0.6792153120040894
43,0.2212201952934265
44,0.3045254945755005
45,0.12330889701843262
46,0.3551463484764099
47,0.37233966588974
48,0.23157382011413574
49,0.3679414391517639
50,0.30245262384414673
51,0.20901167392730713
52,0.31527024507522583
53,0.24961990118026733
54,0.3394626975059509
55,0.210246741771698
56,0.34331291913986206
57,0.38293230533599854
58,0.3963906168937683
59,0.34892988204956055
60,0.36871492862701416
61,0.3781909942626953
62,0.347059965133667
63,0.01935100555419922
64,0.30048102140426636
65,0.3336924910545349
66,0.33801037073135376
67,0.2908332943916321
68,0.3113977313041687
