epoch,GreenCoverage
1,0.5814214944839478
2,0.20035238564014435
3,0.0809616893529892
4,0.07551324367523193
5,0.0706411823630333
6,0.06568019837141037
7,0.057315677404403687
8,0.0465816967189312
9,0.02941782772541046
10,0.020726649090647697
11,0.01812867633998394
12,0.017800016328692436
13,0.018545616418123245
14,0.01898171938955784
15,0.020619992166757584
16,0.024426622316241264
17,0.0215108972042799
18,0.01701192371547222
19,0.021633606404066086
20,0.02048582211136818
21,0.016466856002807617
22,0.014452955685555935
23,0.02462439425289631
24,0.015987981110811234
25,0.016351642087101936
26,0.017266931012272835
27,0.05515192821621895
28,0.02047598361968994
29,0.018717067316174507
30,0.01713046431541443
31,0.01568634621798992
32,0.01444861851632595
33,0.03593015670776367
34,0.013073735870420933
35,0.014485867694020271
36,0.013961796648800373
37,0.019764035940170288
38,0.018345531076192856
39,0.014748454093933105
40,0.013600927777588367
41,0.018213054165244102
42,0.03328530117869377
43,0.015436927787959576
44,0.013785652816295624
45,0.017377721145749092
46,0.012782248668372631
47,0.01244144607335329
48,0.01523169968277216
49,0.01252862811088562
50,0.01382674090564251
51,0.015678925439715385
52,0.013572671450674534
53,0.01487398985773325
54,0.0130931306630373
55,0.015654440969228745
56,0.01301681250333786
57,0.012231478467583656
58,0.01196470856666565
59,0.012905473820865154
60,0.012513294816017151
61,0.012325461022555828
62,0.012942538596689701
63,0.0194383654743433
64,0.013865821994841099
65,0.013207508251070976
66,0.013121917843818665
67,0.014057059772312641
68,0.013649433851242065
