epoch,GreenCoverage
1,0.6165367960929871
2,0.3524090647697449
3,0.22706057131290436
4,0.20977739989757538
5,0.20603923499584198
6,0.19876697659492493
7,0.18065008521080017
8,0.1726749688386917
9,0.1247885674238205
10,0.09832613915205002
11,0.0892828106880188
12,0.08796225488185883
13,0.08639901876449585
14,0.09636221081018448
15,0.09390811622142792
16,0.12278970330953598
17,0.09869915246963501
18,0.08497107774019241
19,0.11394136399030685
20,0.11515253037214279
21,0.0797220915555954
22,0.07664623111486435
23,0.12546706199645996
24,0.0843680277466774
25,0.08310548961162567
26,0.09539507329463959
27,0.19905158877372742
28,0.11423861235380173
29,0.10206995904445648
30,0.0814521312713623
31,0.09303538501262665
32,0.08100694417953491
33,0.16993801295757294
34,0.0744379535317421
35,0.08040276914834976
36,0.07582584768533707
37,0.10881930589675903
38,0.10220829397439957
39,0.08573395758867264
40,0.07892521470785141
41,0.11029255390167236
42,0.15182748436927795
43,0.07981736212968826
44,0.08700220286846161
45,0.08254869282245636
46,0.0744306817650795
47,0.07191333919763565
48,0.0918913260102272
49,0.07504729181528091
50,0.07627059519290924
51,0.1003369465470314
52,0.0724603682756424
53,0.0859716534614563
54,0.0726546049118042
55,0.08711253106594086
56,0.080409936606884
57,0.0718473568558693
58,0.06944512575864792
59,0.07694341242313385
60,0.07066648453474045
61,0.06901075690984726
62,0.07944697886705399
63,0.11044178903102875
64,0.07790707796812057
65,0.07557795196771622
66,0.07404986768960953
67,0.08382696658372879
68,0.08264826238155365
