epoch,GreenCoverage
1,0.6281890273094177
2,0.36976495385169983
3,0.25149640440940857
4,0.23205316066741943
5,0.22806823253631592
6,0.22103404998779297
7,0.201531320810318
8,0.19587858021259308
9,0.14983370900154114
10,0.12307959794998169
11,0.11042027175426483
12,0.10651600360870361
13,0.10952330380678177
14,0.12121685594320297
15,0.11489062756299973
16,0.14846089482307434
17,0.1272999793291092
18,0.10822031646966934
19,0.13667592406272888
20,0.13652797043323517
21,0.10480111092329025
22,0.0979388877749443
23,0.14574377238750458
24,0.10507803410291672
25,0.10750610381364822
26,0.12098866701126099
27,0.21629658341407776
28,0.13814131915569305
29,0.12590539455413818
30,0.10643081367015839
31,0.11394403874874115
32,0.1042088195681572
33,0.18535371124744415
34,0.09466397017240524
35,0.10584240406751633
36,0.09971742331981659
37,0.13464157283306122
38,0.12489606440067291
39,0.10603360086679459
40,0.10086654126644135
41,0.13052688539028168
42,0.17841103672981262
43,0.10465698689222336
44,0.10515414923429489
45,0.11163157969713211
46,0.09312020242214203
47,0.09322727471590042
48,0.11345775425434113
49,0.09502451866865158
50,0.10032225400209427
51,0.1186617761850357
52,0.0973869040608406
53,0.10917023569345474
54,0.09564394503831863
55,0.11271142214536667
56,0.1015293076634407
57,0.09338115900754929
58,0.09013079106807709
59,0.0985591858625412
60,0.09409364312887192
61,0.09138638526201248
62,0.10006929934024811
63,0.13234420120716095
64,0.10268529504537582
65,0.09936556965112686
66,0.09459494799375534
67,0.10669821500778198
68,0.10380472242832184
