sample_idx,phenotype,T1_Pred,T1_True,T2_Pred,T2_True,T3_Pred,T3_True,T4_Pred,T4_True,T5_Pred,T5_True,T6_Pred,T6_True,T7_Pred,T7_True,T8_Pred,T8_True,T9_Pred,T9_True,T10_Pred,T10_True,T11_Pred,T11_True,T12_Pred,T12_True,T13_Pred,T13_True,T14_Pred,T14_True
0,GreenCoverage,0.03526328131556511,0.03324977681040764,0.041378092020750046,0.03909210488200188,0.04863200709223747,0.046342115849256516,0.052927520126104355,0.050628673285245895,0.06283464282751083,0.060876186937093735,0.07532241195440292,0.07396667450666428,0.12301396578550339,0.12587910890579224,0.1518920361995697,0.1577962040901184,0.43678706884384155,0.4744759798049927,0.613919734954834,0.6653657555580139,0.6893541216850281,0.7396501898765564,0.6586155891418457,0.6872528791427612,0.5720514059066772,0.5895623564720154,0.3215142786502838,0.32844462990760803
1,GreenCoverage,0.03498518094420433,0.041398387402296066,0.04025256261229515,0.048092808574438095,0.04664603993296623,0.056239720433950424,0.05050573870539665,0.06098402664065361,0.05951940640807152,0.07214241474866867,0.07109355181455612,0.08609234541654587,0.11645802110433578,0.13935542106628418,0.14437472820281982,0.17115643620491028,0.42387646436691284,0.4740264117717743,0.5976548790931702,0.6499309539794922,0.6698917150497437,0.7108176946640015,0.6335203051567078,0.6227578520774841,0.5429074764251709,0.504288375377655,0.291808545589447,0.2746376693248749
2,GreenCoverage,0.029388170689344406,0.03289186581969261,0.03564148768782616,0.038271378725767136,0.043026190251111984,0.044924166053533554,0.04738235101103783,0.04885246977210045,0.0574040524661541,0.058241959661245346,0.07000299543142319,0.07025051862001419,0.11795424669981003,0.11813630908727646,0.14693796634674072,0.14776355028152466,0.4325087070465088,0.4457249641418457,0.6102461218833923,0.6293598413467407,0.6865192651748657,0.7094727158546448,0.658465564250946,0.7107920050621033,0.5768580436706543,0.6545624136924744,0.3383288085460663,0.44269421696662903
3,GreenCoverage,0.0344097726047039,0.03318008407950401,0.03945600613951683,0.038383614271879196,0.04567114636301994,0.04480625316500664,0.04945487901568413,0.04859140142798424,0.05836233124136925,0.057618092745542526,0.06988982111215591,0.06912725418806076,0.11533228307962418,0.11482221633195877,0.1433868557214737,0.14305274188518524,0.42458027601242065,0.4297785758972168,0.6001722812652588,0.6104058027267456,0.6748128533363342,0.685976505279541,0.6450616717338562,0.6414994597434998,0.56397944688797,0.5557990670204163,0.33036187291145325,0.3180605471134186
4,GreenCoverage,0.016808178275823593,0.026705842465162277,0.021547716110944748,0.030896615236997604,0.02731720730662346,0.036141764372587204,0.03083447739481926,0.03926853463053703,0.03911977633833885,0.046820830553770065,0.04990328475832939,0.05661694332957268,0.09303029626607895,0.09671135991811752,0.1199912503361702,0.12205228954553604,0.39396363496780396,0.3865126371383667,0.5643601417541504,0.5543997883796692,0.6337549090385437,0.623897135257721,0.5947546362876892,0.589662492275238,0.5084137916564941,0.5244446396827698,0.282082736492157,0.3070227801799774
5,GreenCoverage,0.026135992258787155,0.01954348012804985,0.029838960617780685,0.023382779210805893,0.03484963998198509,0.02825380489230156,0.03808603808283806,0.03118426725268364,0.0459967665374279,0.03832417353987694,0.056642528623342514,0.04768102988600731,0.10036193579435349,0.08659467846155167,0.12788933515548706,0.11148177832365036,0.407401442527771,0.3772766888141632,0.58253413438797,0.5522435903549194,0.6567366719245911,0.6308567523956299,0.6247355341911316,0.6072920560836792,0.5362868905067444,0.5264601707458496,0.2768673002719879,0.24690915644168854
6,GreenCoverage,0.032203059643507004,0.0290648452937603,0.034691642969846725,0.03426190838217735,0.03827961906790733,0.04062127694487572,0.040731023997068405,0.04433931037783623,0.04692960903048515,0.053119417279958725,0.05569426342844963,0.0641535148024559,0.09406805783510208,0.10666825622320175,0.1192430928349495,0.1322343498468399,0.38464972376823425,0.37790539860725403,0.5508121252059937,0.5208951234817505,0.6169506907463074,0.5720323920249939,0.5744835734367371,0.5103129744529724,0.4892820715904236,0.3794483244419098,0.2735954821109772,0.21805867552757263
7,GreenCoverage,0.03182150050997734,0.02964576706290245,0.03752301260828972,0.03475775942206383,0.04413182660937309,0.041128482669591904,0.04802436754107475,0.044909145683050156,0.05697084590792656,0.05398621782660484,0.06830195337533951,0.06565047055482864,0.11235780268907547,0.11239547282457352,0.13951876759529114,0.14135192334651947,0.4131101071834564,0.4298497140407562,0.5821981430053711,0.6012142896652222,0.6497029662132263,0.6638110280036926,0.6059986352920532,0.606688380241394,0.5147731900215149,0.5138166546821594,0.28559327125549316,0.29601916670799255
8,GreenCoverage,0.05129149183630943,0.02647484466433525,0.056262459605932236,0.03154967352747917,0.062293704599142075,0.037896137684583664,0.06594686955213547,0.041667740792036057,0.07451596111059189,0.050727616995573044,0.08560644835233688,0.06236730143427849,0.12952826917171478,0.10896468907594681,0.1568133682012558,0.13784369826316833,0.43222948908805847,0.43045923113822937,0.6029355525970459,0.6143158078193665,0.6718764305114746,0.6942530870437622,0.6287612915039062,0.6625207662582397,0.5312219858169556,0.5465691685676575,0.2728874683380127,0.24389135837554932
9,GreenCoverage,0.026884865015745163,0.035142894834280014,0.03292461857199669,0.040601324290037155,0.04007979854941368,0.04731496796011925,0.04431622847914696,0.051260363310575485,0.05408081039786339,0.06063912436366081,0.06639765948057175,0.07254437357187271,0.11355411261320114,0.11941082030534744,0.1421728879213333,0.14815400540828705,0.4251813590526581,0.43590089678764343,0.6007017493247986,0.6139519810676575,0.6742300987243652,0.6875523328781128,0.6387903094291687,0.6522720456123352,0.5459384322166443,0.5722361207008362,0.2845885455608368,0.27624496817588806
10,GreenCoverage,0.03208224102854729,0.029150377959012985,0.03784986957907677,0.03410175070166588,0.044550683349370956,0.04022907838225365,0.04850008711218834,0.0438457690179348,0.05759471282362938,0.05248112604022026,0.06912041455507278,0.06350327283143997,0.11382824927568436,0.10729283839464188,0.14134299755096436,0.13434039056301117,0.41788771748542786,0.4085727334022522,0.5898754596710205,0.5807026028633118,0.6611896753311157,0.6525416374206543,0.6283816695213318,0.6161938309669495,0.5543469786643982,0.5440575480461121,0.360785573720932,0.3430812656879425
11,GreenCoverage,0.03271591290831566,0.01977139338850975,0.03660350665450096,0.02354198321700096,0.0416593961417675,0.028302963823080063,0.044867005199193954,0.031157176941633224,0.052634429186582565,0.03808740898966789,0.06303464621305466,0.04713341221213341,0.10573586076498032,0.08458217233419418,0.1327424943447113,0.10850699990987778,0.4087826609611511,0.36654993891716003,0.5817539691925049,0.540791392326355,0.6544630527496338,0.623130202293396,0.6235417723655701,0.6113194227218628,0.5461501479148865,0.5516396164894104,0.328920841217041,0.3803103566169739
12,GreenCoverage,0.02339121326804161,0.026439037173986435,0.028594743460416794,0.030778195708990097,0.034804817289114,0.03615639731287956,0.03853234276175499,0.039337407797575,0.04722237214446068,0.04695485159754753,0.05839691683650017,0.05672324821352959,0.10242565721273422,0.09592010825872421,0.12972670793533325,0.1203342005610466,0.40544751286506653,0.37078553438186646,0.576974630355835,0.5307338833808899,0.64760822057724,0.6067820191383362,0.6117653250694275,0.6286436915397644,0.5303971171379089,0.5705506801605225,0.31526345014572144,0.30313485860824585
13,GreenCoverage,0.028356846421957016,0.027311932295560837,0.03301536664366722,0.03239774331450462,0.03872334584593773,0.03869588300585747,0.04221644625067711,0.042408864945173264,0.05046173557639122,0.05124523863196373,0.061217840760946274,0.062443818897008896,0.1043592318892479,0.10588891059160233,0.1313496232032776,0.13191388547420502,0.40567004680633545,0.36543458700180054,0.5764023661613464,0.47275087237358093,0.6461836695671082,0.49335676431655884,0.6079326272010803,0.5150360465049744,0.5220355987548828,0.4530375599861145,0.29494428634643555,0.2866988778114319
14,GreenCoverage,0.011645670048892498,0.02176963910460472,0.018219809979200363,0.026037823408842087,0.02589457854628563,0.03145204111933708,0.030385654419660568,0.03470834717154503,0.040657367557287216,0.042638298124074936,0.053479310125112534,0.05302063748240471,0.10185468941926956,0.09607432037591934,0.1309518963098526,0.12351442128419876,0.41659852862358093,0.4133767783641815,0.5939671397209167,0.6010428667068481,0.6695297956466675,0.6843476295471191,0.6390253901481628,0.6645684838294983,0.5533466339111328,0.5925796031951904,0.30655255913734436,0.4139154553413391
15,GreenCoverage,0.029174786061048508,0.03057151660323143,0.03357219323515892,0.036336030811071396,0.03920285031199455,0.043474700301885605,0.04272031411528587,0.047684069722890854,0.051135700196027756,0.057708438485860825,0.06221465393900871,0.0704360082745552,0.10672012716531754,0.12025926262140274,0.13444960117340088,0.15055619180202484,0.41406959295272827,0.44667303562164307,0.5885046720504761,0.6235446929931641,0.6615599989891052,0.6897878050804138,0.6262478232383728,0.6242520809173584,0.5336728096008301,0.5284596085548401,0.26944035291671753,0.233120858669281
16,GreenCoverage,0.03722461685538292,0.042704951018095016,0.042260508984327316,0.04911179468035698,0.04832134768366814,0.05683987960219383,0.051977839320898056,0.061308812350034714,0.06053451821208,0.07174064964056015,0.07158828526735306,0.08465448766946793,0.11536040157079697,0.13318033516407013,0.1425761729478836,0.16184866428375244,0.41784533858299255,0.43377506732940674,0.5889461636543274,0.5938012003898621,0.658964991569519,0.6527944803237915,0.6209635138511658,0.6035878658294678,0.5352310538291931,0.5455853939056396,0.3088688254356384,0.3778988718986511
17,GreenCoverage,0.023012232035398483,0.03292737528681755,0.03060489520430565,0.03839920088648796,0.03905482217669487,0.0451974980533123,0.04384947940707207,0.049222733825445175,0.054566945880651474,0.05886430665850639,0.06762305647134781,0.07121770828962326,0.11575769633054733,0.12050291150808334,0.14447057247161865,0.15094991028308868,0.4256898760795593,0.45443421602249146,0.5987940430641174,0.6365496516227722,0.6696362495422363,0.7053660750389099,0.6305406093597412,0.6576263904571533,0.5409339666366577,0.5929468870162964,0.3078300356864929,0.3223317265510559
18,GreenCoverage,0.03886748477816582,0.03748859092593193,0.04382764920592308,0.04320045933127403,0.049878548830747604,0.050216566771268845,0.05355442687869072,0.05433620139956474,0.06219763681292534,0.06412138789892197,0.07339402288198471,0.07653074711561203,0.11771633476018906,0.1253003031015396,0.1452251821756363,0.15516656637191772,0.4225025773048401,0.45337584614753723,0.5949466228485107,0.6381654143333435,0.6660879254341125,0.7161585688591003,0.628764808177948,0.6777466535568237,0.5396563410758972,0.5740870237350464,0.2972199022769928,0.30401480197906494
19,GreenCoverage,0.024014588445425034,0.03459407016634941,0.029856707900762558,0.039575885981321335,0.03667708858847618,0.04570503160357475,0.04070053622126579,0.04931044206023216,0.0499487929046154,0.05789565667510033,0.06162978336215019,0.06882625073194504,0.10676708072423935,0.11216021329164505,0.13441947102546692,0.1389106959104538,0.4110839068889618,0.4100525677204132,0.5821763277053833,0.5807189345359802,0.6514570116996765,0.6546733975410461,0.6096629500389099,0.6245327591896057,0.5164043307304382,0.5167382955551147,0.2731257975101471,0.21658450365066528
20,GreenCoverage,0.048024486750364304,0.03509482368826866,0.05148268863558769,0.041116368025541306,0.05620553717017174,0.048543136566877365,0.05928589031100273,0.052912723273038864,0.06685534864664078,0.06330203264951706,0.07711861282587051,0.07647528499364853,0.11976579576730728,0.12798206508159637,0.1468154639005661,0.15926969051361084,0.42349928617477417,0.4625535309314728,0.596904993057251,0.6396714448928833,0.6696457266807556,0.7040525078773499,0.6361508369445801,0.6500755548477173,0.549724280834198,0.5735993981361389,0.30270716547966003,0.2931557595729828
21,GreenCoverage,0.04680883511900902,0.05111564323306084,0.05112273618578911,0.05836395546793938,0.05653154477477074,0.06711921840906143,0.05988926813006401,0.07219039648771286,0.06788506358861923,0.08405279368162155,0.07842162996530533,0.09877990931272507,0.12110734730958939,0.15433336794376373,0.1479310691356659,0.1871742606163025,0.42127910256385803,0.49446776509284973,0.5911297798156738,0.6695291996002197,0.6595461368560791,0.7293387651443481,0.616288959980011,0.6455864310264587,0.5200280547142029,0.5214237570762634,0.26579633355140686,0.21525374054908752
22,GreenCoverage,0.020233582705259323,0.024502050131559372,0.02454553171992302,0.028555002063512802,0.029971402138471603,0.03359078988432884,0.03334563598036766,0.036573585122823715,0.04138880595564842,0.043725427240133286,0.0519905649125576,0.05291135236620903,0.09497041255235672,0.08991419523954391,0.12196149677038193,0.11307752877473831,0.3968427777290344,0.3555543124675751,0.5682374238967896,0.5152412056922913,0.6387487649917603,0.588414192199707,0.601585328578949,0.5509231686592102,0.5152684450149536,0.4146241247653961,0.2822752892971039,0.2570256292819977
23,GreenCoverage,0.025348257273435593,0.03408641740679741,0.03031424805521965,0.03973151370882988,0.0364343486726284,0.046639394015073776,0.040166717022657394,0.050683122128248215,0.04895300790667534,0.060256656259298325,0.06033950671553612,0.07234685868024826,0.10537507385015488,0.1195547804236412,0.13323383033275604,0.14834626019001007,0.4131905734539032,0.4346795678138733,0.588007926940918,0.6103019714355469,0.6619543433189392,0.6801661849021912,0.6312443614006042,0.6293961405754089,0.5504627227783203,0.5333879590034485,0.32081401348114014,0.3555927574634552
24,GreenCoverage,0.0007860171026550233,0.004735689144581556,0.0032378542236983776,0.005723904352635145,0.007035415153950453,0.007015864830464125,0.009677673690021038,0.007811467628926039,0.016414906829595566,0.009800503961741924,0.025917645543813705,0.012499566189944744,0.06693655997514725,0.024513032287359238,0.09343887120485306,0.03266207501292229,0.3681226670742035,0.13248571753501892,0.5411195755004883,0.21423931419849396,0.6140303611755371,0.27392634749412537,0.5823367238044739,0.3554408848285675,0.49957275390625,0.34977129101753235,0.259451299905777,0.18163329362869263
25,GreenCoverage,0.01502061914652586,0.021976511925458908,0.02113170549273491,0.026156853884458542,0.028345298022031784,0.03140516206622124,0.03260752186179161,0.03453690931200981,0.04241585358977318,0.04210053011775017,0.05476478859782219,0.05189938470721245,0.10197926312685013,0.09184239059686661,0.13060806691646576,0.11700008064508438,0.41360923647880554,0.37930846214294434,0.5891392827033997,0.5484668612480164,0.6627329587936401,0.6255109310150146,0.627776563167572,0.6246373653411865,0.5363238453865051,0.5637341141700745,0.27928051352500916,0.29585060477256775
26,GreenCoverage,0.05186058208346367,0.030004378408193588,0.05364988371729851,0.03512720391154289,0.05686270818114281,0.041458602994680405,0.05924336239695549,0.04519186541438103,0.06552330404520035,0.05409510061144829,0.07464612275362015,0.06544028967618942,0.1150263175368309,0.11035316437482834,0.14139434695243835,0.13799452781677246,0.41628605127334595,0.4153479337692261,0.5899914503097534,0.5873502492904663,0.6638556122779846,0.6620829701423645,0.6341017484664917,0.6455354690551758,0.5519744157791138,0.5476875305175781,0.30691394209861755,0.34191611409187317
27,GreenCoverage,0.028750326484441757,0.022532101720571518,0.035578783601522446,0.026483815163373947,0.0430208258330822,0.031444843858480453,0.047225844115018845,0.03440829738974571,0.05660533532500267,0.04158120974898338,0.06812696903944016,0.05091221258044243,0.11165469139814377,0.08935921639204025,0.13825809955596924,0.11383619159460068,0.4061235785484314,0.3748227655887604,0.5701612830162048,0.5444093346595764,0.6323690414428711,0.6100645065307617,0.580269992351532,0.5223348736763,0.4887937903404236,0.39873671531677246,0.28777647018432617,0.17727093398571014
28,GreenCoverage,0.025008197873830795,0.02304963394999504,0.02850421890616417,0.02747940644621849,0.03338665887713432,0.03306133672595024,0.036586787551641464,0.03640018031001091,0.04447382315993309,0.04448148235678673,0.05516327545046806,0.054975684732198715,0.09929565340280533,0.09787803143262863,0.12709210813045502,0.1249428316950798,0.40910691022872925,0.4078437387943268,0.5866422653198242,0.5907881855964661,0.6637821793556213,0.6714984178543091,0.6388692259788513,0.648369550704956,0.5593269467353821,0.5866652131080627,0.313170850276947,0.30642572045326233
29,GreenCoverage,0.030522745102643967,0.031273003667593,0.035785283893346786,0.03653901442885399,0.04212690517306328,0.04307442530989647,0.045948054641485214,0.046940650790929794,0.05488063022494316,0.056193601340055466,0.06636328250169754,0.06803872436285019,0.11145610362291336,0.11529172211885452,0.13929350674152374,0.1445341259241104,0.4189628064632416,0.44005030393600464,0.5937209725379944,0.6237295269966125,0.6680381298065186,0.6992074251174927,0.6404880881309509,0.6625164151191711,0.5686358213424683,0.6140848994255066,0.3660885691642761,0.416644811630249
30,GreenCoverage,0.02150965854525566,0.02670031413435936,0.028172459453344345,0.03128797933459282,0.03580031916499138,0.037034567445516586,0.04022127017378807,0.04045848175883293,0.050262194126844406,0.04871554300189018,0.06273532658815384,0.05939210578799248,0.10982950776815414,0.10273832827806473,0.1382751613855362,0.12992914021015167,0.41943037509918213,0.41012924909591675,0.5935978889465332,0.5863907337188721,0.6662228107452393,0.6584854125976562,0.63234543800354,0.6171175837516785,0.5499285459518433,0.5521286129951477,0.32754144072532654,0.36399105191230774
31,GreenCoverage,0.02247793599963188,0.02248149737715721,0.026909928768873215,0.02675185725092888,0.032408278435468674,0.03210712596774101,0.035802002996206284,0.035298850387334824,0.043863456696271896,0.04299512133002281,0.054461266845464706,0.05294215306639671,0.09723313897848129,0.09330690652132034,0.12409456819295883,0.11865133792161942,0.3978220522403717,0.3832553029060364,0.5683336853981018,0.5564132928848267,0.6379104852676392,0.6360620260238647,0.5991933941841125,0.6087067127227783,0.5123081207275391,0.49500998854637146,0.28204604983329773,0.2533511221408844
