epoch,sim_pheno
1,0.8983948230743408
2,0.6730648279190063
3,0.11391792446374893
4,0.10264089703559875
5,0.10029606521129608
6,0.1009042039513588
7,0.09989922493696213
8,0.10028734803199768
9,0.10789833217859268
10,0.10033757239580154
11,0.1012585386633873
12,0.10011482983827591
13,0.10347464680671692
14,0.09843100607395172
15,0.10343785583972931
16,0.09813124686479568
17,0.0993746817111969
18,0.08923924714326859
19,0.0882805585861206
20,0.08701089024543762
21,0.08129475265741348
22,0.07591523975133896
23,0.065686896443367
24,0.08363405615091324
25,0.07427521795034409
26,0.06116693466901779
27,0.06574282050132751
28,0.059243734925985336
29,0.06174192950129509
30,0.07618018239736557
31,0.06224515289068222
32,0.05875195562839508
33,0.05783311650156975
34,0.06379955261945724
35,0.06850762665271759
36,0.058269400149583817
37,0.058614227920770645
38,0.059931933879852295
39,0.05750144645571709
40,0.057718150317668915
41,0.06259550899267197
42,0.060093510895967484
43,0.05801963061094284
44,0.06323742121458054
45,0.05683246627449989
46,0.05952136591076851
47,0.06304554641246796
48,0.05706275999546051
49,0.0625547245144844
50,0.056758664548397064
51,0.05898607522249222
52,0.06010627746582031
53,0.06645084917545319
