epoch,sim_pheno
1,0.1863914430141449
2,0.21761159598827362
3,0.19361847639083862
4,0.26736363768577576
5,0.3275523781776428
6,0.382511705160141
7,0.41854724287986755
8,0.4721377193927765
9,0.50022292137146
10,0.5247507691383362
11,0.5466916561126709
12,0.5458306670188904
13,0.5618810057640076
14,0.5398020148277283
15,0.5930240154266357
16,0.6196897625923157
17,0.616628885269165
18,0.6037341356277466
19,0.5870110988616943
20,0.6337031126022339
21,0.6581582427024841
22,0.7206093668937683
23,0.7420346140861511
24,0.7723115682601929
25,0.7661210894584656
26,0.773900032043457
27,0.7709569931030273
28,0.7805648446083069
29,0.7818127870559692
30,0.7851199507713318
31,0.7822752594947815
32,0.7836329340934753
33,0.7867183089256287
34,0.7906948328018188
35,0.7867581844329834
36,0.7898160815238953
37,0.7896181344985962
38,0.7922318577766418
39,0.7921571731567383
40,0.795665442943573
41,0.7930718064308167
42,0.7957322001457214
43,0.795454740524292
44,0.7955113053321838
45,0.7928870916366577
46,0.7949179410934448
47,0.7986549139022827
48,0.7958704829216003
49,0.7959298491477966
50,0.7957029938697815
51,0.7968000769615173
52,0.7975100874900818
53,0.7967393398284912
