epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_pcc,train_r2,val_mse,val_rmse,val_mae,val_pcc,val_r2
1,1.1414607000350951,1.040339776447841,1.0488818883895874,0.9457883834838867,0.932732880115509,0.003617882961407304,-45.87928009033203,0.9696639180183411,0.9119425415992737,0.8983948230743408,0.1863914430141449,-40.994178771972656
2,0.8819351601600647,0.6110110282897949,0.7961715459823608,0.8302078247070312,0.8134223818778992,0.008094335906207561,-34.58451843261719,0.5408523678779602,0.689286470413208,0.6730648279190063,0.21761159598827362,-22.423219680786133
3,0.23553075790405273,0.1040671957390649,0.1460820734500885,0.3618907034397125,0.27090078592300415,-0.009291290305554867,-5.529072284698486,0.024876026436686516,0.13890382647514343,0.11391792446374893,0.19361847639083862,-0.07733070850372314
4,0.10634671851992607,0.0952083830322538,0.022829273715615273,0.12710736691951752,0.10184123367071152,0.06646637618541718,-0.020343780517578125,0.023163706064224243,0.1274186223745346,0.10264089703559875,0.26736363768577576,-0.003173232078552246
5,0.09801528409123421,0.08934829809835979,0.022410178557038307,0.12551769614219666,0.10044372081756592,0.12648901343345642,-0.0016121864318847656,0.022844482213258743,0.1248418316245079,0.10029606521129608,0.3275523781776428,0.010651648044586182
6,0.08792711928486824,0.08424986260277885,0.02180790714919567,0.12291426956653595,0.09826318174600601,0.21864059567451477,0.02530580759048462,0.02292424440383911,0.12566281855106354,0.1009042039513588,0.382511705160141,0.007197260856628418
7,0.08674318574368954,0.08037158314670835,0.021590271964669228,0.12275907397270203,0.09857586771249771,0.22802284359931946,0.03503328561782837,0.022666016593575478,0.12456516176462173,0.09989922493696213,0.41854724287986755,0.018380701541900635
8,0.08223627179861069,0.07414223785911288,0.021610403433442116,0.12363429367542267,0.09898824989795685,0.22062762081623077,0.034133076667785645,0.022939052432775497,0.1252071112394333,0.10028734803199768,0.4721377193927765,0.00655597448348999
9,0.08232473045587539,0.0724725414599691,0.021963153034448624,0.12607961893081665,0.10062696039676666,0.2052205353975296,0.018367230892181396,0.023876477032899857,0.13307704031467438,0.10789833217859268,0.50022292137146,-0.0340418815612793
10,0.07902461268007756,0.06739167869091034,0.021162668243050575,0.12324009090662003,0.09868194162845612,0.264331191778183,0.05414456129074097,0.022168951109051704,0.12472855299711227,0.10033757239580154,0.5247507691383362,0.03990757465362549
11,0.074125005453825,0.06447924992867879,0.020882626995444298,0.1221240982413292,0.09754394739866257,0.30843570828437805,0.06666100025177002,0.022020850330591202,0.12549211084842682,0.1012585386633873,0.5466916561126709,0.04632145166397095
12,0.07574490308761597,0.06472998059221677,0.02058173343539238,0.12096826732158661,0.09670072048902512,0.33543723821640015,0.0801093578338623,0.022010916844010353,0.1244630515575409,0.10011482983827591,0.5458306670188904,0.04675179719924927
13,0.07353324890136718,0.06417187037212509,0.021655946969985962,0.12850512564182281,0.10296933352947235,0.26747190952301025,0.032097578048706055,0.02229985035955906,0.12763521075248718,0.10347464680671692,0.5618810057640076,0.034238576889038086
14,0.07116115987300872,0.0649968832731247,0.02100035548210144,0.12530095875263214,0.10022182017564774,0.3316604197025299,0.06139880418777466,0.02121240645647049,0.12199766933917999,0.09843100607395172,0.5398020148277283,0.08133363723754883
15,0.0666566800326109,0.06041536373751504,0.020723147317767143,0.12488778680562973,0.10002610087394714,0.3720504343509674,0.07378876209259033,0.02080211229622364,0.12599776685237885,0.10343785583972931,0.5930240154266357,0.09910261631011963
16,0.06070827394723892,0.05716522037982941,0.018762510269880295,0.11971186846494675,0.09560654312372208,0.4727157652378082,0.161418616771698,0.019729359075427055,0.12087137997150421,0.09813124686479568,0.6196897625923157,0.14556121826171875
17,0.061711705103516576,0.057356495410203934,0.0198100246489048,0.12356972694396973,0.09868096560239792,0.4296577572822571,0.11460018157958984,0.02030150406062603,0.12149990350008011,0.0993746817111969,0.616628885269165,0.12078273296356201
18,0.05638602919876576,0.056189206561871936,0.017310410737991333,0.11311570554971695,0.08992619812488556,0.524726390838623,0.22631943225860596,0.017319925129413605,0.11052343249320984,0.08923924714326859,0.6037341356277466,0.24990910291671753
19,0.05363239116966725,0.05756435862609318,0.016531813889741898,0.10966221243143082,0.08762437850236893,0.5722386240959167,0.2611185312271118,0.01711104065179825,0.1096050888299942,0.0882805585861206,0.5870110988616943,0.2589554190635681
20,0.05277881756424904,0.05339924299291202,0.016354167833924294,0.11009271442890167,0.08797470480203629,0.5694465041160583,0.2690581679344177,0.01725110225379467,0.1084790900349617,0.08701089024543762,0.6337031126022339,0.2528896927833557
21,0.051687977835536005,0.04831982297556741,0.01557745411992073,0.10860000550746918,0.0872514620423317,0.5856755971908569,0.3037732243537903,0.014491051435470581,0.1011347621679306,0.08129475265741348,0.6581582427024841,0.37242186069488525
22,0.04651555761694908,0.0388913308935506,0.014418674632906914,0.10674333572387695,0.0861063003540039,0.5979742407798767,0.3555641174316406,0.010740214958786964,0.09322462975978851,0.07591523975133896,0.7206093668937683,0.5348630547523499
23,0.038997273966670035,0.033954446603144915,0.011124609038233757,0.09499572217464447,0.07605186849832535,0.6743730306625366,0.5027907490730286,0.008485140278935432,0.08153850585222244,0.065686896443367,0.7420346140861511,0.6325256824493408
24,0.036150640584528444,0.03379007561930588,0.009990732185542583,0.09082000702619553,0.07275642454624176,0.7091181874275208,0.5534689128398895,0.011314461939036846,0.10058112442493439,0.08363405615091324,0.7723115682601929,0.5099935829639435
25,0.03384418800473213,0.03329715185931751,0.009413670748472214,0.08879662305116653,0.07071923464536667,0.7186794281005859,0.5792605578899384,0.010501670651137829,0.09143062680959702,0.07427521795034409,0.7661210894584656,0.5451938211917877
26,0.03234979685395956,0.029427172616124153,0.008758905343711376,0.08478494733572006,0.06796445697546005,0.7431577444076538,0.6085247993469238,0.007285804487764835,0.07562219351530075,0.06116693466901779,0.773900032043457,0.684466540813446
27,0.03291668452322483,0.030645785054990222,0.008890381082892418,0.08558662980794907,0.06834160536527634,0.7383335828781128,0.6026486754417419,0.008121459744870663,0.08187026530504227,0.06574282050132751,0.7709569931030273,0.6482760310173035
28,0.03180807579308748,0.027906847585524832,0.008343290537595749,0.0837627500295639,0.06711173802614212,0.7468608021736145,0.6271004676818848,0.006385748274624348,0.0733584389090538,0.059243734925985336,0.7805648446083069,0.7234461307525635
29,0.030435071736574174,0.028423971363476346,0.008317780680954456,0.08354789763689041,0.0670228898525238,0.7538506984710693,0.6282405853271484,0.006968723144382238,0.07656906545162201,0.06174192950129509,0.7818127870559692,0.6981987357139587
30,0.030843714773654936,0.03184342756867409,0.008654012344777584,0.08493224531412125,0.06789185851812363,0.7462098002433777,0.6132130026817322,0.010601531714200974,0.09310884028673172,0.07618018239736557,0.7851199507713318,0.5408690869808197
31,0.03010955475270748,0.028114653591598784,0.008111957460641861,0.08208736032247543,0.06580464541912079,0.7566769123077393,0.6374397873878479,0.006916945334523916,0.07687420397996902,0.06224515289068222,0.7822752594947815,0.7004410624504089
32,0.02883607868105173,0.027245467262608663,0.007480604574084282,0.07918199151754379,0.06387783586978912,0.7766160368919373,0.6656578779220581,0.0062599629163742065,0.07293049246072769,0.05875195562839508,0.7836329340934753,0.7288936674594879
33,0.030282277204096316,0.02694761593426977,0.008236195892095566,0.08359775692224503,0.066795714199543,0.7475926876068115,0.6318870484828949,0.006182012613862753,0.07165563851594925,0.05783311650156975,0.7867183089256287,0.7322694957256317
34,0.029548017270863057,0.027900236259613718,0.00778435030952096,0.08053555339574814,0.06450502574443817,0.7619810700416565,0.6520820558071136,0.0073821754194796085,0.07948009669780731,0.06379955261945724,0.7906948328018188,0.6802929639816284
35,0.028634844236075877,0.030001007286565646,0.007554801646620035,0.0793222188949585,0.06333275139331818,0.7779824137687683,0.6623415946960449,0.00912794191390276,0.08519189804792404,0.06850762665271759,0.7867581844329834,0.6046872735023499
36,0.02832528080791235,0.02659891465944903,0.007727351505309343,0.07999312877655029,0.0636858120560646,0.7702474594116211,0.654629647731781,0.006235804874449968,0.0722009688615799,0.058269400149583817,0.7898160815238953,0.7299399375915527
37,0.029589754641056062,0.026493149676493237,0.007938268594443798,0.08173315227031708,0.06520701944828033,0.7625857591629028,0.6452028155326843,0.006197899114340544,0.07233931124210358,0.058614227920770645,0.7896181344985962,0.7315815389156342
38,0.02883489467203617,0.027112630595053946,0.00806064996868372,0.08187912404537201,0.0656149759888649,0.7652880549430847,0.639733076095581,0.006905563175678253,0.07438712567090988,0.059931933879852295,0.7922318577766418,0.7009340524673462
39,0.027859570831060408,0.02615484967827797,0.006825613789260387,0.07542672008275986,0.06044142693281174,0.785267174243927,0.6949324011802673,0.006035692989826202,0.07112567126750946,0.05750144645571709,0.7921571731567383,0.738606333732605
40,0.02806161027401686,0.02612218846167837,0.007254475727677345,0.0774727538228035,0.061928339302539825,0.7787675261497498,0.6757647395133972,0.006279202178120613,0.07153062522411346,0.057718150317668915,0.795665442943573,0.7280604839324951
41,0.027219997365027667,0.02758161031774112,0.006858618464320898,0.0761176124215126,0.06045227870345116,0.7849448919296265,0.6934572458267212,0.007364605087786913,0.07816097140312195,0.06259550899267197,0.7930718064308167,0.6810538470745087
42,0.026942026615142823,0.026548477954098156,0.0067192986607551575,0.07469626516103745,0.05960601568222046,0.7899252772331238,0.6996842324733734,0.006624588277190924,0.07455303519964218,0.060093510895967484,0.7957322001457214,0.7131024301052094
43,0.028321070969104765,0.025917297495262965,0.007245946209877729,0.07761519402265549,0.061808422207832336,0.7811039686203003,0.6761458814144135,0.0060456967912614346,0.07162730395793915,0.05801963061094284,0.795454740524292,0.7381731271743774
44,0.027192389778792857,0.02776793869478362,0.006721508223563433,0.07515974342823029,0.06006672605872154,0.7896702289581299,0.6995853185653687,0.007577802520245314,0.07896555215120316,0.06323742121458054,0.7955113053321838,0.671820729970932
45,0.027220115326344968,0.026342679347310747,0.0070740641094744205,0.07672520726919174,0.06134127080440521,0.7840965390205383,0.6838280856609344,0.006074164528399706,0.07097867131233215,0.05683246627449989,0.7928870916366577,0.7369402348995209
46,0.026780449524521827,0.026917198406798497,0.006624332629144192,0.07425662130117416,0.05923179164528847,0.7906684875488281,0.7039285600185394,0.006752697750926018,0.07418105006217957,0.05952136591076851,0.7949179410934448,0.7075543403625488
47,0.026658199839293958,0.02679017319210938,0.006695606280118227,0.07469442486763,0.05963405594229698,0.7899364233016968,0.7007429897785187,0.007131360471248627,0.07869584113359451,0.06304554641246796,0.7986549139022827,0.6911552548408508
48,0.02774936266243458,0.026116165465542247,0.007040726952254772,0.07642070204019547,0.06058000400662422,0.7850739359855652,0.6853180229663849,0.006048568058758974,0.07099699229001999,0.05706275999546051,0.7958704829216003,0.7380487620830536
49,0.026562201753258706,0.027560235666377202,0.006644231732934713,0.07400616258382797,0.058847103267908096,0.7941500544548035,0.7030392587184906,0.007408728823065758,0.07791788876056671,0.0625547245144844,0.7959298491477966,0.6791429221630096
50,0.026487442515790462,0.026369196229747364,0.006618877407163382,0.07392700016498566,0.0588032566010952,0.7939025163650513,0.7041723728179932,0.0063814749009907246,0.07068875432014465,0.056758664548397064,0.7957029938697815,0.7236312329769135
