epoch,sim_pheno
1,-40.994178771972656
2,-22.423219680786133
3,-0.07733070850372314
4,-0.003173232078552246
5,0.010651648044586182
6,0.007197260856628418
7,0.018380701541900635
8,0.00655597448348999
9,-0.0340418815612793
10,0.03990757465362549
11,0.04632145166397095
12,0.04675179719924927
13,0.034238576889038086
14,0.08133363723754883
15,0.09910261631011963
16,0.14556121826171875
17,0.12078273296356201
18,0.24990910291671753
19,0.2589554190635681
20,0.2528896927833557
21,0.37242186069488525
22,0.5348630547523499
23,0.6325256824493408
24,0.5099935829639435
25,0.5451938211917877
26,0.684466540813446
27,0.6482760310173035
28,0.7234461307525635
29,0.6981987357139587
30,0.5408690869808197
31,0.7004410624504089
32,0.7288936674594879
33,0.7322694957256317
34,0.6802929639816284
35,0.6046872735023499
36,0.7299399375915527
37,0.7315815389156342
38,0.7009340524673462
39,0.738606333732605
40,0.7280604839324951
41,0.6810538470745087
42,0.7131024301052094
43,0.7381731271743774
44,0.671820729970932
45,0.7369402348995209
46,0.7075543403625488
47,0.6911552548408508
48,0.7380487620830536
49,0.6791429221630096
50,0.7236312329769135
51,0.7268592417240143
52,0.691589742898941
53,0.6524237394332886
