epoch,sim_pheno
1,0.9119425415992737
2,0.689286470413208
3,0.13890382647514343
4,0.1274186223745346
5,0.1248418316245079
6,0.12566281855106354
7,0.12456516176462173
8,0.1252071112394333
9,0.13307704031467438
10,0.12472855299711227
11,0.12549211084842682
12,0.1244630515575409
13,0.12763521075248718
14,0.12199766933917999
15,0.12599776685237885
16,0.12087137997150421
17,0.12149990350008011
18,0.11052343249320984
19,0.1096050888299942
20,0.1084790900349617
21,0.1011347621679306
22,0.09322462975978851
23,0.08153850585222244
24,0.10058112442493439
25,0.09143062680959702
26,0.07562219351530075
27,0.08187026530504227
28,0.0733584389090538
29,0.07656906545162201
30,0.09310884028673172
31,0.07687420397996902
32,0.07293049246072769
33,0.07165563851594925
34,0.07948009669780731
35,0.08519189804792404
36,0.0722009688615799
37,0.07233931124210358
38,0.07438712567090988
39,0.07112567126750946
40,0.07153062522411346
41,0.07816097140312195
42,0.07455303519964218
43,0.07162730395793915
44,0.07896555215120316
45,0.07097867131233215
46,0.07418105006217957
47,0.07869584113359451
48,0.07099699229001999
49,0.07791788876056671
50,0.07068875432014465
51,0.07275800406932831
52,0.07473833858966827
53,0.08241983503103256
