epoch,sim_pheno
1,0.9696639180183411
2,0.5408523678779602
3,0.024876026436686516
4,0.023163706064224243
5,0.022844482213258743
6,0.02292424440383911
7,0.022666016593575478
8,0.022939052432775497
9,0.023876477032899857
10,0.022168951109051704
11,0.022020850330591202
12,0.022010916844010353
13,0.02229985035955906
14,0.02121240645647049
15,0.02080211229622364
16,0.019729359075427055
17,0.02030150406062603
18,0.017319925129413605
19,0.01711104065179825
20,0.01725110225379467
21,0.014491051435470581
22,0.010740214958786964
23,0.008485140278935432
24,0.011314461939036846
25,0.010501670651137829
26,0.007285804487764835
27,0.008121459744870663
28,0.006385748274624348
29,0.006968723144382238
30,0.010601531714200974
31,0.006916945334523916
32,0.0062599629163742065
33,0.006182012613862753
34,0.0073821754194796085
35,0.00912794191390276
36,0.006235804874449968
37,0.006197899114340544
38,0.006905563175678253
39,0.006035692989826202
40,0.006279202178120613
41,0.007364605087786913
42,0.006624588277190924
43,0.0060456967912614346
44,0.007577802520245314
45,0.006074164528399706
46,0.006752697750926018
47,0.007131360471248627
48,0.006048568058758974
49,0.007408728823065758
50,0.0063814749009907246
51,0.006306938361376524
52,0.007121326867491007
53,0.008025686256587505
