epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_pcc,train_r2,val_mse,val_rmse,val_mae,val_pcc,val_r2
1,0.9205558240413666,0.6828121940294901,0.8320783972740173,0.829407587647438,0.7836725786328316,0.007389909937046468,-24.02038624882698,0.6238303333520889,0.6830649822950363,0.6457004547119141,0.3322882689535618,-21.696178272366524
2,0.5328108340501785,0.3579856554667155,0.480938158929348,0.5947524830698967,0.5402926467359066,0.0676457998342812,-12.093688741326332,0.30631749890744686,0.4839732050895691,0.440547913312912,0.44185635820031166,-8.033981755375862
3,0.28015997633337975,0.22923240065574646,0.2440439984202385,0.43301041424274445,0.3765430711209774,0.0625306935980916,-3.7775913923978806,0.1818870473653078,0.3668348118662834,0.3175974953919649,0.5210760720074177,-2.8067536652088165
4,0.22389648705720902,0.21526856223742166,0.19628404453396797,0.37239110469818115,0.32024404034018517,0.24677427485585213,-2.2023432850837708,0.17939095944166183,0.3573411125689745,0.3090826366096735,0.5971982479095459,-2.657246872782707
5,0.21235654056072234,0.20387643575668335,0.19111194647848606,0.36733567900955677,0.31611387990415096,0.3872893089428544,-2.0222620368003845,0.17056117858737707,0.3495230879634619,0.3012324534356594,0.6129987463355064,-2.3940940499305725
6,0.2011151432991028,0.19898606836795807,0.1815506536513567,0.3552241809666157,0.30548156425356865,0.5485972035676241,-1.8107616603374481,0.16955668665468693,0.34197461791336536,0.2949702460318804,0.668146088719368,-2.1518792510032654
7,0.19309875890612602,0.18256330490112305,0.17654518131166697,0.34791199304163456,0.29773724637925625,0.5141513533890247,-1.5768382251262665,0.154804777354002,0.3282778188586235,0.2810022085905075,0.6735006421804428,-1.81081722676754
8,0.17215974256396294,0.1941094696521759,0.15772269060835242,0.3248313069343567,0.2764024417847395,0.551884550601244,-1.189437136054039,0.16375016327947378,0.32721949741244316,0.28085597790777683,0.693172812461853,-1.5354499071836472
9,0.1597267162054777,0.14468995233376822,0.14412194630131125,0.3027427978813648,0.25222519040107727,0.49205875769257545,-0.7278957962989807,0.12109164195135236,0.2716492600739002,0.22273889929056168,0.7069176509976387,-0.6393328905105591
10,0.13416954167187214,0.13590600341558456,0.11901576165109873,0.2632417883723974,0.21496910881251097,0.5725275464355946,-0.1643678992986679,0.1080784781370312,0.24934284016489983,0.2006457159295678,0.7010447010397911,-0.19929738342761993
11,0.11734170392155648,0.121418297290802,0.10294186417013407,0.24071584176272154,0.19264639914035797,0.5745371431112289,0.09886441379785538,0.09492335969116539,0.23307520896196365,0.18422563560307026,0.6927400529384613,-0.03487110137939453
12,0.10867228358983994,0.11469920972983043,0.09437762922607362,0.2268336620181799,0.1800711713731289,0.6283431462943554,0.19493326544761658,0.08733264007605612,0.218892983160913,0.1757683688774705,0.701012559235096,0.09335336834192276
13,0.1016021154820919,0.11387599507967631,0.0893375207670033,0.2188686914741993,0.1726204100996256,0.670236811041832,0.25622282177209854,0.0871415650472045,0.21672446187585592,0.17058702558279037,0.7097805589437485,0.09336172044277191
