epoch,RGBVI,WI,ExB,COM,GreenCoverage,bn,IPCA,NDI
1,0.6253951191902161,0.6771240830421448,0.6574269533157349,0.614337146282196,0.6464838981628418,0.6117008328437805,0.7055582404136658,0.6275773644447327
2,0.4021947681903839,0.4417044222354889,0.4107520282268524,0.37980300188064575,0.39407452940940857,0.47293898463249207,0.6609517335891724,0.36196383833885193
3,0.256391704082489,0.2703775465488434,0.26697471737861633,0.26259225606918335,0.2383834421634674,0.3497955799102783,0.6527402997016907,0.24352441728115082
4,0.24151751399040222,0.26380202174186707,0.2580202519893646,0.24774639308452606,0.22651435434818268,0.34727388620376587,0.6598822474479675,0.22790442407131195
5,0.23502926528453827,0.25867924094200134,0.25408199429512024,0.23822250962257385,0.2153959423303604,0.34383586049079895,0.6420193910598755,0.2225954234600067
6,0.22191773355007172,0.24244104325771332,0.23816457390785217,0.22797170281410217,0.2048277109861374,0.3375604450702667,0.6739855408668518,0.21289321780204773
7,0.20689594745635986,0.23848235607147217,0.2337232530117035,0.20833344757556915,0.19253046810626984,0.3423158824443817,0.6274911165237427,0.19824519753456116
8,0.1880435198545456,0.23704123497009277,0.23552872240543365,0.19106252491474152,0.1807796061038971,0.34903812408447266,0.686458170413971,0.17889592051506042
9,0.12817521393299103,0.18496230244636536,0.1815517097711563,0.13541395962238312,0.13366855680942535,0.3037475049495697,0.5780171155929565,0.136374831199646
10,0.09396076202392578,0.16089531779289246,0.15914352238178253,0.10954170674085617,0.11291708797216415,0.29705217480659485,0.5724363327026367,0.09921882301568985
11,0.09185018390417099,0.14180617034435272,0.14252585172653198,0.09890320152044296,0.10644186288118362,0.30146583914756775,0.5040237903594971,0.08678818494081497
12,0.08134176582098007,0.1392514854669571,0.13585343956947327,0.08730421960353851,0.0918952077627182,0.2599819004535675,0.5211292505264282,0.08938968181610107
13,0.07965067774057388,0.13150662183761597,0.13240252435207367,0.08142459392547607,0.08639132976531982,0.26680895686149597,0.5087980628013611,0.07771343737840652
14,0.07748087495565414,0.12703067064285278,0.1294245719909668,0.08077191561460495,0.08964521437883377,0.2562371492385864,0.4939829409122467,0.0800379142165184
15,0.07452082633972168,0.12802711129188538,0.13312195241451263,0.07889199256896973,0.08008430898189545,0.2503052353858948,0.5188999176025391,0.07475549727678299
16,0.07684530317783356,0.12304706126451492,0.1225963607430458,0.07855435460805893,0.07922603189945221,0.25540581345558167,0.4813467860221863,0.08308469504117966
17,0.07537732273340225,0.1356002390384674,0.1286676973104477,0.0806303396821022,0.0922371968626976,0.24167759716510773,0.4872898757457733,0.07514537870883942
18,0.10375554114580154,0.17874781787395477,0.16763970255851746,0.08252681791782379,0.09527745097875595,0.27899616956710815,0.5663889050483704,0.0868985503911972
19,0.07234897464513779,0.11903149634599686,0.12170695513486862,0.07669980823993683,0.08744972944259644,0.260090708732605,0.4661392867565155,0.07195011526346207
20,0.08775768429040909,0.1242518499493599,0.12150292098522186,0.08327927440404892,0.10287345945835114,0.229219451546669,0.5067605972290039,0.074254110455513
21,0.071417436003685,0.14761631190776825,0.17390140891075134,0.0778985545039177,0.13959452509880066,0.2299223691225052,0.47413477301597595,0.15568216145038605
22,0.0721702054142952,0.11439376324415207,0.1150052398443222,0.0820874571800232,0.16595721244812012,0.23020057380199432,0.5041635632514954,0.1113087460398674
23,0.09383375197649002,0.11994784325361252,0.12087474763393402,0.09512579441070557,0.12205225974321365,0.2240484654903412,0.4706896245479584,0.08238281309604645
24,0.08103983104228973,0.13377982378005981,0.13271771371364594,0.08963587135076523,0.09238440543413162,0.2467554807662964,0.45799240469932556,0.08199026435613632
