epoch,RGBVI,WI,ExB,COM,GreenCoverage,bn,IPCA,NDI
1,0.638369083404541,0.702235221862793,0.6830194592475891,0.6269617080688477,0.6581301689147949,0.6805926561355591,0.8349819779396057,0.6402295827865601
2,0.41849082708358765,0.4756968319416046,0.44648391008377075,0.39662274718284607,0.41048336029052734,0.5473912954330444,0.7978140711784363,0.3788025975227356
3,0.2773742973804474,0.312365859746933,0.30866727232933044,0.28275418281555176,0.26239079236984253,0.43499618768692017,0.7926049828529358,0.2635249197483063
4,0.2616153061389923,0.30553942918777466,0.2997649312019348,0.26834195852279663,0.24807007610797882,0.43281641602516174,0.7964443564414978,0.24613642692565918
5,0.2550293803215027,0.2994256019592285,0.2944568693637848,0.2590333819389343,0.23720557987689972,0.42891159653663635,0.7811818718910217,0.2409404218196869
6,0.2416657954454422,0.28416866064071655,0.2795102298259735,0.2481013387441635,0.22704501450061798,0.41960811614990234,0.8050317764282227,0.23066601157188416
7,0.22666648030281067,0.27791300415992737,0.2726554274559021,0.2294979989528656,0.21491792798042297,0.42434564232826233,0.7644218802452087,0.21580418944358826
8,0.20897774398326874,0.274579256772995,0.27403002977371216,0.21062183380126953,0.2024124711751938,0.42530298233032227,0.8235366940498352,0.1982949674129486
9,0.1499026119709015,0.22480759024620056,0.22119474411010742,0.1582581102848053,0.15744464099407196,0.38747069239616394,0.71845543384552,0.1556602567434311
10,0.11823403835296631,0.1982334703207016,0.19638589024543762,0.13372015953063965,0.13844594359397888,0.37572526931762695,0.7120242118835449,0.12197373807430267
11,0.11370650678873062,0.17972366511821747,0.18001210689544678,0.12118671834468842,0.12889431416988373,0.3811212182044983,0.6502360105514526,0.10972113162279129
12,0.10172517597675323,0.17149761319160461,0.16775743663311005,0.10972725600004196,0.11197461187839508,0.3318367600440979,0.6479595899581909,0.10866542160511017
13,0.10197467356920242,0.16793003678321838,0.16902174055576324,0.10528545826673508,0.1134374737739563,0.33461523056030273,0.6400870680809021,0.10144401341676712
14,0.10124547779560089,0.15989549458026886,0.16187123954296112,0.10672006756067276,0.11466162651777267,0.3280341923236847,0.6340801119804382,0.10453778505325317
15,0.0964072197675705,0.16121886670589447,0.1658184677362442,0.10148533433675766,0.102936290204525,0.31931719183921814,0.6482277512550354,0.09574879705905914
16,0.10005027800798416,0.15490086376667023,0.15443183481693268,0.10220494121313095,0.10295272618532181,0.3187210261821747,0.6007468104362488,0.10528044402599335
17,0.09704788774251938,0.16606785356998444,0.15928757190704346,0.10520321875810623,0.11703700572252274,0.3096471428871155,0.5999221205711365,0.09624554216861725
18,0.12973923981189728,0.21448847651481628,0.20446085929870605,0.10924689471721649,0.12605424225330353,0.34055420756340027,0.7058817148208618,0.1116606593132019
19,0.09361767023801804,0.15161776542663574,0.15488967299461365,0.09808512032032013,0.11172648519277573,0.31847551465034485,0.5988752245903015,0.09446770697832108
20,0.10757281631231308,0.15446865558624268,0.15271474421024323,0.1042746752500534,0.12313736230134964,0.29496923089027405,0.6318994164466858,0.09314117580652237
21,0.09209039062261581,0.1790744960308075,0.20429089665412903,0.10118847340345383,0.16298866271972656,0.2904329001903534,0.6104657053947449,0.17502090334892273
22,0.09313829243183136,0.14488175511360168,0.1454760730266571,0.10640130937099457,0.18926839530467987,0.29107776284217834,0.6289588212966919,0.13079504668712616
23,0.11450298875570297,0.1514405459165573,0.1522940844297409,0.11852794885635376,0.14295479655265808,0.2879859507083893,0.5865079164505005,0.10424022376537323
24,0.09945239126682281,0.16192783415317535,0.16099940240383148,0.10884489119052887,0.11167137324810028,0.31021761894226074,0.5832916498184204,0.10072346776723862
25,0.1349456012248993,0.16531570255756378,0.16600601375102997,0.12344001233577728,0.13150866329669952,0.3088516592979431,0.5880381464958191,0.10915432870388031
26,0.10160569101572037,0.15395036339759827,0.15644855797290802,0.111357681453228,0.1291322261095047,0.31352823972702026,0.5830292701721191,0.09760076552629471
27,0.09841657429933548,0.15723581612110138,0.15602174401283264,0.12081342935562134,0.11793637275695801,0.28826794028282166,0.6079087853431702,0.09243331849575043
28,0.09476130455732346,0.1517445296049118,0.1536698341369629,0.10341776907444,0.10774807631969452,0.2842719256877899,0.6025435328483582,0.08989249169826508
29,0.10279446095228195,0.1509876400232315,0.1519376039505005,0.09575425088405609,0.10400829464197159,0.28322380781173706,0.5784627795219421,0.10423652827739716
30,0.09394169598817825,0.1399768888950348,0.14768250286579132,0.09710781276226044,0.10731042921543121,0.2831314206123352,0.5740520358085632,0.11367632448673248
31,0.09399295598268509,0.14077898859977722,0.1403508484363556,0.10012144595384598,0.1340010017156601,0.27551060914993286,0.5629865527153015,0.1055976003408432
32,0.09560324251651764,0.13837730884552002,0.1406693011522293,0.10416819900274277,0.13476420938968658,0.2796920835971832,0.5579333901405334,0.16082431375980377
33,0.09012690931558609,0.13983426988124847,0.14196226000785828,0.09359405934810638,0.11824996769428253,0.28784456849098206,0.6146631240844727,0.09623674303293228
34,0.1069188043475151,0.1392083615064621,0.1403684914112091,0.10428063571453094,0.1107947826385498,0.2679292857646942,0.5704807043075562,0.09199906885623932
35,0.1047956794500351,0.13875994086265564,0.14244529604911804,0.09880530834197998,0.11872360855340958,0.27794212102890015,0.5864627957344055,0.09571482986211777
36,0.09175627678632736,0.13746479153633118,0.14983658492565155,0.10234103351831436,0.11437267065048218,0.282842218875885,0.5481056571006775,0.10185284167528152
37,0.10184870660305023,0.15252645313739777,0.15111349523067474,0.10302634537220001,0.11801285296678543,0.262966126203537,0.5460065603256226,0.09123969823122025
38,0.13400353491306305,0.1387435346841812,0.14134161174297333,0.11877306550741196,0.09891301393508911,0.25942957401275635,0.5583888292312622,0.10361264646053314
39,0.13112226128578186,0.13679742813110352,0.14680181443691254,0.13013221323490143,0.10215530544519424,0.27024737000465393,0.5533982515335083,0.10326238721609116
40,0.09955404698848724,0.16133713722229004,0.17065618932247162,0.09700299054384232,0.13302309811115265,0.26273685693740845,0.5440924763679504,0.11622796952724457
41,0.1289236694574356,0.14635047316551208,0.1363968700170517,0.13351628184318542,0.11293701827526093,0.2578202188014984,0.5427392721176147,0.10827796906232834
42,0.11570922285318375,0.14518891274929047,0.14627540111541748,0.11132960021495819,0.1543949544429779,0.26206204295158386,0.5522505640983582,0.09699046611785889
43,0.12662236392498016,0.136001855134964,0.14652864634990692,0.11042936146259308,0.09482817351818085,0.2657727003097534,0.5420276522636414,0.09602071344852448
44,0.11679578572511673,0.1314229816198349,0.13258804380893707,0.12131675332784653,0.1218404546380043,0.25625836849212646,0.5914329290390015,0.09022995084524155
45,0.09322823584079742,0.13660337030887604,0.13346736133098602,0.09830526262521744,0.09421219676733017,0.25503355264663696,0.6110772490501404,0.10241656750440598
46,0.09482304751873016,0.14326202869415283,0.14799682796001434,0.09335249662399292,0.11913235485553741,0.2699163258075714,0.5486137270927429,0.1130610927939415
47,0.09027416259050369,0.13244834542274475,0.13211117684841156,0.09509209543466568,0.09648611396551132,0.25687944889068604,0.540794312953949,0.09091077744960785
48,0.11631359905004501,0.14961855113506317,0.1571761667728424,0.10372001677751541,0.1173066571354866,0.2552824020385742,0.572615921497345,0.09187860786914825
49,0.08773040026426315,0.12989529967308044,0.13131092488765717,0.09083692729473114,0.11132918298244476,0.2558024525642395,0.5524031519889832,0.1182546615600586
50,0.08854851871728897,0.13323001563549042,0.1323886662721634,0.09531503170728683,0.13199198246002197,0.25097575783729553,0.5297266840934753,0.09200478345155716
51,0.08588242530822754,0.14360275864601135,0.14356906712055206,0.09310039132833481,0.0999646931886673,0.2534131109714508,0.5386773347854614,0.11762695014476776
52,0.09438186138868332,0.13339118659496307,0.13046206533908844,0.11874745041131973,0.10450560599565506,0.2511177957057953,0.5433334112167358,0.08444736897945404
53,0.09384298324584961,0.13319525122642517,0.13291501998901367,0.08984500169754028,0.09305878728628159,0.2582966089248657,0.5261505246162415,0.09761643409729004
54,0.0904495120048523,0.1312975436449051,0.13179336488246918,0.0905437096953392,0.10721953213214874,0.25198057293891907,0.5338954329490662,0.08379310369491577
55,0.08524005115032196,0.12968994677066803,0.13167594373226166,0.09438442438840866,0.13537143170833588,0.2492905855178833,0.5274255871772766,0.08425398916006088
56,0.09469040483236313,0.13399334251880646,0.1328970193862915,0.08905073255300522,0.12216941267251968,0.24878709018230438,0.5465539693832397,0.10565858334302902
57,0.09049072116613388,0.12750543653964996,0.12775036692619324,0.0903714969754219,0.09774167835712433,0.24715709686279297,0.5264084935188293,0.1098112016916275
58,0.08443286269903183,0.12934881448745728,0.13163051009178162,0.09400231391191483,0.1079721450805664,0.24761605262756348,0.5323333144187927,0.08763857930898666
59,0.08834130316972733,0.13186131417751312,0.13882440328598022,0.09179506450891495,0.09383883327245712,0.2559468746185303,0.5372570753097534,0.08224659413099289
60,0.08385282754898071,0.12714482843875885,0.12605880200862885,0.08835984021425247,0.11437052488327026,0.2503499388694763,0.5363414883613586,0.08255846798419952
61,0.09102863073348999,0.13016417622566223,0.13088823854923248,0.09249826520681381,0.09750314056873322,0.25252875685691833,0.5549049377441406,0.08376701921224594
62,0.08950036019086838,0.1387343853712082,0.14524464309215546,0.10160475224256516,0.1189551129937172,0.24591554701328278,0.5441221594810486,0.08698458969593048
63,0.08921028673648834,0.12636728584766388,0.126992329955101,0.08881437033414841,0.093220055103302,0.24627740681171417,0.5491026639938354,0.08583234250545502
64,0.09205959737300873,0.13659420609474182,0.13618287444114685,0.0923493430018425,0.10950308293104172,0.24733345210552216,0.5233504772186279,0.08417769521474838
65,0.10159282386302948,0.13233113288879395,0.12948063015937805,0.10082167387008667,0.09683318436145782,0.24722668528556824,0.5174723267555237,0.09870743006467819
66,0.10901200771331787,0.1368531882762909,0.13823160529136658,0.11472739279270172,0.12117771059274673,0.24973401427268982,0.5200653672218323,0.08674013614654541
67,0.0849044993519783,0.12663380801677704,0.12666642665863037,0.09099644422531128,0.10392497479915619,0.24699179828166962,0.522549033164978,0.08277899771928787
68,0.08991219848394394,0.12568001449108124,0.12620365619659424,0.09311240911483765,0.1115269735455513,0.2521366775035858,0.5156968235969543,0.08915681391954422
69,0.08451735228300095,0.12782233953475952,0.12764759361743927,0.08915285021066666,0.09236228466033936,0.24496601521968842,0.5187598466873169,0.0834374949336052
70,0.09277959167957306,0.12631097435951233,0.1262834370136261,0.09300197660923004,0.09106947481632233,0.24805627763271332,0.525976300239563,0.09770414978265762
71,0.09233788400888443,0.12672631442546844,0.1266857385635376,0.10193316638469696,0.09373845160007477,0.24560301005840302,0.5299385786056519,0.08305586129426956
72,0.08614390343427658,0.12696649134159088,0.12742434442043304,0.09341634809970856,0.09819278866052628,0.24552114307880402,0.5255882143974304,0.08699319511651993
73,0.0915667861700058,0.13131359219551086,0.13323689997196198,0.0908755213022232,0.10419141501188278,0.24651207029819489,0.5367926955223083,0.08651488274335861
74,0.08519691973924637,0.1297653168439865,0.13159985840320587,0.0891561508178711,0.09094332158565521,0.24364373087882996,0.5152037739753723,0.0826018899679184
75,0.08488746732473373,0.1293226182460785,0.12934251129627228,0.08892496675252914,0.09479613602161407,0.24199481308460236,0.5252904295921326,0.08544062823057175
76,0.0895545482635498,0.12737926840782166,0.12781770527362823,0.09482021629810333,0.09275586158037186,0.24349762499332428,0.5135179758071899,0.08151710778474808
77,0.08816050738096237,0.1255340725183487,0.12576468288898468,0.0964093953371048,0.09093645960092545,0.24191060662269592,0.5158542990684509,0.08464211970567703
78,0.08849062025547028,0.126661017537117,0.12648683786392212,0.0939185619354248,0.10935437679290771,0.24211345613002777,0.518621027469635,0.08797948807477951
79,0.08924145251512527,0.1272043138742447,0.12735995650291443,0.09692239761352539,0.10424039512872696,0.24516355991363525,0.5166904330253601,0.09147121012210846
80,0.08416316658258438,0.12606577575206757,0.12638314068317413,0.08835320919752121,0.09432224929332733,0.24267084896564484,0.517224133014679,0.08187701553106308
81,0.08306175470352173,0.12760016322135925,0.1273263692855835,0.08771172910928726,0.11194182932376862,0.2403477430343628,0.5128124356269836,0.08303608745336533
82,0.09585392475128174,0.1281641274690628,0.12848372757434845,0.09506542235612869,0.09375403821468353,0.24163076281547546,0.5130980610847473,0.08487419784069061
83,0.08384329825639725,0.12788797914981842,0.12803518772125244,0.09141285717487335,0.09832806140184402,0.24215464293956757,0.5232371687889099,0.08302085101604462
84,0.08670083433389664,0.12655307352542877,0.1267627775669098,0.09262228012084961,0.10013928264379501,0.2418927401304245,0.516154944896698,0.08178011327981949
85,0.08344541490077972,0.12528151273727417,0.12522953748703003,0.09164828062057495,0.09506247937679291,0.24092598259449005,0.5130017399787903,0.0857146605849266
86,0.08442504703998566,0.12541569769382477,0.1255628764629364,0.08790483325719833,0.09401755779981613,0.2412150800228119,0.5152891278266907,0.08092997223138809
87,0.08300530165433884,0.12526969611644745,0.12570998072624207,0.08803655207157135,0.0920792743563652,0.24009236693382263,0.5172634124755859,0.08094395697116852
88,0.08360488712787628,0.12648603320121765,0.12672114372253418,0.08834441751241684,0.09149576723575592,0.24080891907215118,0.5151633024215698,0.08151442557573318
89,0.08311200886964798,0.12487883120775223,0.12505242228507996,0.08862237632274628,0.0923944041132927,0.239906445145607,0.5126794576644897,0.08582749217748642
90,0.08344053477048874,0.1262970119714737,0.12613196671009064,0.08829569816589355,0.09091602265834808,0.24077440798282623,0.5173633694648743,0.08198390901088715
91,0.08316481858491898,0.12517772614955902,0.12548430263996124,0.08794324845075607,0.09415238350629807,0.24011805653572083,0.5111874341964722,0.08160332590341568
92,0.08374867588281631,0.12554533779621124,0.12578579783439636,0.0883605107665062,0.09088779985904694,0.24081756174564362,0.5142034888267517,0.08138466626405716
93,0.08334363996982574,0.12528519332408905,0.1254703253507614,0.08791517466306686,0.09050245583057404,0.2401360422372818,0.5137888789176941,0.08154617249965668
94,0.08335431665182114,0.12517675757408142,0.12535233795642853,0.08795181661844254,0.09115535765886307,0.2399621307849884,0.5116506218910217,0.08131186664104462
95,0.08325748145580292,0.12522463500499725,0.12546700239181519,0.0882759690284729,0.09107964485883713,0.24002599716186523,0.5144333243370056,0.08193162828683853
96,0.08335483819246292,0.12507233023643494,0.12524661421775818,0.0889144092798233,0.09064959734678268,0.24004031717777252,0.5124701261520386,0.08133192360401154
97,0.08333669602870941,0.12549616396427155,0.12568305432796478,0.08798372745513916,0.09041450917720795,0.24044862389564514,0.5123741030693054,0.08131609857082367
98,0.08452565968036652,0.12691842019557953,0.12695272266864777,0.08854661136865616,0.0907047763466835,0.24149778485298157,0.5146134495735168,0.0816471055150032
99,0.08327487856149673,0.12511888146400452,0.12530659139156342,0.08785954862833023,0.09034116566181183,0.23980917036533356,0.5134795904159546,0.08134419471025467
100,0.08359550684690475,0.1251251995563507,0.1253063827753067,0.08826587349176407,0.09044265002012253,0.23978900909423828,0.511652946472168,0.08158697187900543
